1680532613.8717833,01,2,356
1680532613.906698,02,3,441
1680532615.8678412,69,1,462
1680532616.8555014,45,4,435
1680532618.868097,01,1,483
1680532618.9050167,01,2,524
1680532620.8633282,02,3,639
1680532620.8942354,69,1,777
1680532622.869336,45,4,642
1680532624.8588557,01,1,339
1680532624.8947904,01,2,359
1680532626.8670359,02,3,451
1680532626.9011881,69,1,425
1680532628.8718467,45,4,350
1680532630.8682005,01,1,186
1680532630.8941076,01,2,163
1680532632.1610832,02,3,245
1680532632.876641,69,1,135
1680532634.8727036,45,4,130
